trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,22,Incongruent,13b_0.918_0.735.png,3.586731195449829,0.916,0.736,9.223245620727539,0.0,1.0,2.6116228103637695,hidden,3.6116228103637695,2.0,2.6116228103637695,fixation,1.0
1,1,3,Medium,3_0.408_0.429.png,3.586731195449829,0.416,0.422,8.538573861122131,12.809976577758789,1.0,1.9269510507583618,hidden,15.73692798614502,2.0,2.6116228103637695,fixation,1.0
2,1,18,Congruent,18_0.531_0.327.png,2.0125551223754883,0.537,0.335,9.223245620727539,24.93528175354004,1.0,2.6116228103637695,hidden,28.546905517578125,2.0,2.6116228103637695,fixation,1.0
3,1,2,Congruent,2_0.571_0.224.png,3.586731195449829,0.579,0.228,8.956448316574097,36.17108154296875,1.0,2.6116228103637695,hidden,39.78270721435547,2.0,2.344825506210327,fixation,1.0
4,1,1,Incongruent,1_0.612_0.286.png,1.6839350461959839,0.619,0.291,8.858398914337158,48.714263916015625,1.0,2.2467761039733887,hidden,51.961036682128906,2.0,2.6116228103637695,fixation,1.0
5,1,9,Congruent,9_0.367_0.490.png,3.586731195449829,0.374,0.482,8.232632160186768,59.256595611572266,1.0,2.540889263153076,hidden,62.7974853515625,2.0,1.6917428970336914,fixation,1.0
6,1,8,Medium,8_0.796_0.408.png,2.276921033859253,0.804,0.406,8.488257050514221,71.07595825195312,1.0,2.6116228103637695,hidden,74.68758392333984,2.0,1.8766342401504517,fixation,1.0
7,1,11,Incongruent,11_0.286_0.571.png,2.0691301822662354,0.282,0.565,7.796156883239746,81.84114074707031,1.0,1.8820736408233643,hidden,84.72321319580078,2.0,1.9140832424163818,fixation,1.0
8,1,20,Medium,20_1.000_0.245.png,3.586731195449829,1.0,0.246,8.747329950332642,91.7064208984375,1.0,2.6116228103637695,hidden,95.31804656982422,2.0,2.135707139968872,fixation,1.0
9,1,9,Congruent,9_0.286_0.143.png,3.5199501514434814,0.294,0.136,8.747729301452637,104.04048919677734,1.0,2.136106491088867,hidden,107.17658996582031,2.0,2.6116228103637695,fixation,1.0
10,1,1,Incongruent,1_0.714_0.612.png,3.586731195449829,0.721,0.619,9.223245620727539,116.30816650390625,1.0,2.6116228103637695,hidden,119.91978454589844,2.0,2.6116228103637695,fixation,1.0
11,1,11,Incongruent,11_0.102_0.837.png,3.586731195449829,0.111,0.845,9.223245620727539,129.11814880371094,1.0,2.6116228103637695,hidden,132.72976684570312,2.0,2.6116228103637695,fixation,1.0
12,1,8,Medium,8_0.469_0.592.png,3.586731195449829,0.461,0.591,9.146497964859009,141.92811584472656,1.0,2.5348751544952393,hidden,145.46299743652344,2.0,2.6116228103637695,fixation,1.0
13,1,9,Congruent,9_0.286_0.490.png,2.4655539989471436,0.284,0.483,9.223245620727539,154.66134643554688,1.0,2.6116228103637695,hidden,158.27296447753906,2.0,2.6116228103637695,fixation,1.0
14,1,2,Congruent,2_0.551_0.388.png,3.586731195449829,0.546,0.389,7.751329302787781,166.3501434326172,1.0,1.8047065734863281,hidden,169.1548614501953,2.0,1.9466227293014526,fixation,1.0
15,1,8,Medium,8_0.510_0.245.png,3.586731195449829,0.52,0.251,9.010256052017212,177.68820190429688,1.0,2.3986332416534424,hidden,181.0868377685547,2.0,2.6116228103637695,fixation,1.0
16,1,20,Medium,20_0.204_0.000.png,3.586731195449829,0.211,0.009,8.504042148590088,190.2852020263672,1.0,2.27166748046875,hidden,193.55686950683594,2.0,2.232374668121338,fixation,1.0
17,1,22,Incongruent,13b_0.714_0.510.png,2.940974712371826,0.714,0.507,9.223245620727539,202.37596130371094,1.0,2.6116228103637695,hidden,205.9875946044922,2.0,2.6116228103637695,fixation,1.0
18,1,18,Congruent,18_0.020_0.143.png,3.019700765609741,0.02,0.142,8.33569622039795,214.54019165039062,1.0,2.6116228103637695,hidden,218.1518096923828,2.0,1.7240734100341797,fixation,1.0
19,1,20,Medium,20_0.571_0.163.png,3.586731195449829,0.562,0.157,7.851544260978699,225.8955841064453,1.0,2.013535261154175,hidden,228.90911865234375,2.0,1.838008999824524,fixation,1.0
20,1,18,Congruent,18_0.449_0.449.png,1.233716607093811,0.456,0.44,8.871089458465576,237.3338623046875,1.0,2.2594666481018066,hidden,240.59332275390625,2.0,2.6116228103637695,fixation,1.0
21,1,3,Medium,3_0.551_0.449.png,3.586731195449829,0.55,0.453,9.223245620727539,247.4386749267578,1.0,2.6116228103637695,hidden,251.05029296875,2.0,2.6116228103637695,fixation,1.0
22,1,8,Medium,8_0.653_0.918.png,1.5431026220321655,0.648,0.913,8.49808943271637,260.2486572265625,1.0,2.6116228103637695,hidden,263.8602600097656,2.0,1.8864666223526,fixation,1.0
23,1,3,Medium,3_0.490_0.184.png,3.586731195449829,0.499,0.187,9.214993238449097,270.2898254394531,1.0,2.603370428085327,hidden,273.8932189941406,2.0,2.6116228103637695,fixation,1.0
24,1,1,Incongruent,1_0.612_0.224.png,3.586731195449829,0.622,0.226,8.803215026855469,283.091552734375,1.0,2.6116228103637695,hidden,286.70318603515625,2.0,2.191592216491699,fixation,1.0
25,1,2,Congruent,2_0.816_0.347.png,1.5571017265319824,0.824,0.342,9.223245620727539,295.48150634765625,1.0,2.6116228103637695,hidden,299.0931396484375,2.0,2.6116228103637695,fixation,1.0
26,1,20,Medium,20_0.776_0.755.png,3.586731195449829,0.781,0.755,8.79326581954956,306.2618408203125,1.0,2.6116228103637695,hidden,309.87347412109375,2.0,2.181643009185791,fixation,1.0
27,1,11,Incongruent,11_0.612_0.469.png,3.586731195449829,0.609,0.46,9.223245620727539,318.641845703125,1.0,2.6116228103637695,hidden,322.25347900390625,2.0,2.6116228103637695,fixation,1.0
28,1,22,Incongruent,13b_0.898_0.857.png,3.586731195449829,0.892,0.863,9.051714420318604,331.45184326171875,1.0,2.440091609954834,hidden,334.89190673828125,2.0,2.6116228103637695,fixation,1.0
29,1,2,Congruent,2_0.673_0.143.png,3.586731195449829,0.667,0.149,8.414766550064087,344.09027099609375,1.0,2.6116228103637695,hidden,347.701904296875,2.0,1.8031437397003174,fixation,1.0
30,2,3,Medium,3_0.551_0.245.png,3.586731195449829,0.561,0.244,8.547088623046875,0.0,1.0,1.9354658126831055,hidden,2.9354658126831055,2.0,2.6116228103637695,fixation,1.0
31,2,1,Incongruent,1_0.796_0.306.png,3.0518410205841064,0.794,0.313,8.482476830482483,12.133819580078125,1.0,2.6116228103637695,hidden,15.745442390441895,2.0,1.8708540201187134,fixation,1.0
32,2,11,Incongruent,11_0.082_0.633.png,3.586731195449829,0.079,0.634,9.223245620727539,23.66813850402832,1.0,2.6116228103637695,hidden,27.279760360717773,2.0,2.6116228103637695,fixation,1.0
33,2,9,Congruent,9_0.367_0.551.png,3.586731195449829,0.364,0.541,8.556336045265198,36.47811508178711,1.0,1.9447132349014282,hidden,39.422828674316406,2.0,2.6116228103637695,fixation,1.0
34,2,22,Incongruent,13b_0.388_0.551.png,3.5546483993530273,0.391,0.561,8.50015926361084,48.62118148803711,1.0,1.8885364532470703,hidden,51.50971984863281,2.0,2.6116228103637695,fixation,1.0
35,2,18,Congruent,18_0.204_0.143.png,3.586731195449829,0.196,0.148,9.223245620727539,60.67599105834961,1.0,2.6116228103637695,hidden,64.28761291503906,2.0,2.6116228103637695,fixation,1.0
36,2,2,Congruent,2_0.816_0.245.png,3.586731195449829,0.819,0.245,9.223245620727539,73.48596954345703,1.0,2.6116228103637695,hidden,77.09758758544922,2.0,2.6116228103637695,fixation,1.0
37,2,8,Medium,8_0.347_0.531.png,3.586731195449829,0.355,0.526,8.516797661781311,86.29594421386719,1.0,1.9051748514175415,hidden,89.20111846923828,2.0,2.6116228103637695,fixation,1.0
38,2,18,Congruent,18_0.469_0.531.png,3.586731195449829,0.463,0.538,9.223245620727539,98.39947509765625,1.0,2.6116228103637695,hidden,102.01109313964844,2.0,2.6116228103637695,fixation,1.0
39,2,20,Medium,20_0.367_0.327.png,3.586731195449829,0.361,0.336,8.317902207374573,111.2094497680664,1.0,1.7062793970108032,hidden,113.91572570800781,2.0,2.6116228103637695,fixation,1.0
40,2,22,Incongruent,13b_0.571_0.429.png,3.586731195449829,0.566,0.436,8.35340690612793,123.11408233642578,1.0,1.7417840957641602,hidden,125.85586547851562,2.0,2.6116228103637695,fixation,1.0
41,2,9,Congruent,9_0.327_0.245.png,2.35908579826355,0.332,0.255,8.919251441955566,135.05421447753906,1.0,2.307628631591797,hidden,138.36184692382812,2.0,2.6116228103637695,fixation,1.0
42,2,8,Medium,8_0.490_1.000.png,3.586731195449829,0.484,1.0,8.515798807144165,146.33255004882812,1.0,2.6116228103637695,hidden,149.94418334960938,2.0,1.9041759967803955,fixation,1.0
43,2,1,Incongruent,1_0.531_0.041.png,3.586731195449829,0.524,0.046,9.223245620727539,158.43508911132812,1.0,2.6116228103637695,hidden,162.0467071533203,2.0,2.6116228103637695,fixation,1.0
44,2,11,Incongruent,11_0.592_0.878.png,3.075458526611328,0.595,0.869,9.203218698501587,171.2450714111328,1.0,2.5915958881378174,hidden,174.83665466308594,2.0,2.6116228103637695,fixation,1.0
45,2,2,Congruent,2_0.735_0.102.png,2.666666269302368,0.736,0.101,8.665425062179565,183.52374267578125,1.0,2.6116228103637695,hidden,187.13536071777344,2.0,2.053802251815796,fixation,1.0
